question_id,question_text,participant_name,answer,created_at
63,"Question 1: Quelle est la capitale de la France?",Alice,Paris,"2025-09-15 12:44:16"
64,"Question 2: La Terre est-elle ronde?",Alice,Vrai,"2025-09-15 12:44:16"
65,"Question 3: Combien font 2+2?",Alice,4,"2025-09-15 12:44:16"
66,"Question 4: Évaluez ce quiz (1-5)",Alice,4,"2025-09-15 12:44:16"
67,"Question 5: Que pensez-vous de cette session?",Alice,"Great session, very informative!","2025-09-15 12:44:16"
68,"Question 6: Quel est le plus grand océan?",Alice,Pacifique,"2025-09-15 12:44:16"
69,"Question 7: Combien y a-t-il de continents?",Alice,7,"2025-09-15 12:44:16"
70,"Question 8: Quelle est la couleur du soleil?",Alice,Blanc,"2025-09-15 12:44:16"
71,"Question 9: En quelle année l homme a-t-il marché sur la lune?",Alice,1969,"2025-09-15 12:44:16"
72,"Question 10: Vos commentaires finaux sur cette expérience",Alice,"Excellent experience overall","2025-09-15 12:44:16"
73,"Question 11: Quelle est la planète la plus proche du soleil?",Alice,Mercure,"2025-09-15 12:44:16"
74,"Question 12: Combien de côtés a un hexagone?",Alice,6,"2025-09-15 12:44:16"
63,"Question 1: Quelle est la capitale de la France?",Bob,Lyon,"2025-09-15 12:44:16"
64,"Question 2: La Terre est-elle ronde?",Bob,Faux,"2025-09-15 12:44:16"
65,"Question 3: Combien font 2+2?",Bob,5,"2025-09-15 12:44:16"
66,"Question 4: Évaluez ce quiz (1-5)",Bob,3,"2025-09-15 12:44:16"
67,"Question 5: Que pensez-vous de cette session?",Bob,"It was OK, could be better","2025-09-15 12:44:16"
68,"Question 6: Quel est le plus grand océan?",Bob,Atlantique,"2025-09-15 12:44:16"
69,"Question 7: Combien y a-t-il de continents?",Bob,6,"2025-09-15 12:44:16"
70,"Question 8: Quelle est la couleur du soleil?",Bob,Jaune,"2025-09-15 12:44:16"
71,"Question 9: En quelle année l homme a-t-il marché sur la lune?",Bob,1968,"2025-09-15 12:44:16"
72,"Question 10: Vos commentaires finaux sur cette expérience",Bob,"Good but needs improvement","2025-09-15 12:44:16"
73,"Question 11: Quelle est la planète la plus proche du soleil?",Bob,Vénus,"2025-09-15 12:44:16"
74,"Question 12: Combien de côtés a un hexagone?",Bob,7,"2025-09-15 12:44:16"
63,"Question 1: Quelle est la capitale de la France?",Charlie,Paris,"2025-09-15 12:44:16"
64,"Question 2: La Terre est-elle ronde?",Charlie,Vrai,"2025-09-15 12:44:16"
65,"Question 3: Combien font 2+2?",Charlie,4,"2025-09-15 12:44:16"
66,"Question 4: Évaluez ce quiz (1-5)",Charlie,5,"2025-09-15 12:44:16"
67,"Question 5: Que pensez-vous de cette session?",Charlie,"Amazing content and presentation","2025-09-15 12:44:16"
68,"Question 6: Quel est le plus grand océan?",Charlie,Pacifique,"2025-09-15 12:44:16"
69,"Question 7: Combien y a-t-il de continents?",Charlie,7,"2025-09-15 12:44:16"
70,"Question 8: Quelle est la couleur du soleil?",Charlie,Blanc,"2025-09-15 12:44:16"
71,"Question 9: En quelle année l homme a-t-il marché sur la lune?",Charlie,1969,"2025-09-15 12:44:16"
72,"Question 10: Vos commentaires finaux sur cette expérience",Charlie,"Perfect session, thank you!","2025-09-15 12:44:16"
73,"Question 11: Quelle est la planète la plus proche du soleil?",Charlie,Mercure,"2025-09-15 12:44:16"
74,"Question 12: Combien de côtés a un hexagone?",Charlie,6,"2025-09-15 12:44:16"
